Country_ID,Country_Name,Country_Region
572,Afghanistan,Asia Pacific
133,Albania,Europe
457,Algeria,MEA
2249,Andorra,Europe
1535,Argentina,Americas
1541,Armenia,MEA
1591,Australia,Asia Pacific
1592,Austria,Europe
539,Azerbaijan,MEA
518,Bahrain,Asia Pacific
2010,Bangladesh,Asia Pacific
30,Barbados,Americas
79,Belarus,Europe
1624,Belgium,Europe
459,Benin,MEA
2104,Bhutan,Asia Pacific
1593,Bolivia,Americas
1590,Bosnia and Herzegovina,Europe
1584,Botswana,MEA
1606,Brazil,Americas
1588,Bulgaria,Europe
180,Burkina Faso,MEA
29,Cabo Verde,Americas
305,Cambodia,Asia Pacific
1581,Cameroon,MEA
1554,Canada,Americas
1566,Chile,Americas
1551,Colombia,Americas
577,Costa Rica,Americas
1537,Cote D'Ivoire,MEA
1595,Croatia,Europe
2109,Cyprus,Asia Pacific
1570,Czech Republic,Europe
1577,Denmark,Europe
1599,Dominican Republic,Americas
1567,Ecuador,Americas
1609,Egypt,MEA
1572,El Salvador,Americas
1565,Estonia,Europe
476,Ethiopia,MEA
2240,Fiji,Asia Pacific
1620,Finland,Europe
1597,France,Europe
499,Gabon,MEA
531,Georgia,Europe
1596,Germany,Europe
1568,Ghana,MEA
2107,Global Teams,Global
1555,Greece,Europe
1556,Guatemala,Americas
2339,Haiti,Americas
2108,Honduras,Americas
1594,Hong Kong,Asia Pacific
1549,Hungary,Europe
1550,Iceland,Europe
1585,India,MEA
1539,Indonesia,Asia Pacific
495,Iran,MEA
1540,Ireland,Europe
1542,Italy,Europe
2427,Jamaica,Americas
1615,Japan,Asia Pacific
530,Jordan,Asia Pacific
494,Kazakhstan,MEA
1617,Kenya,MEA
2106,Kingdom of Saudi Arabia,MEA
1562,Korea,Asia Pacific
56,Kuwait,MEA
543,Kyrgyzstan,MEA
55,Laos,Asia Pacific
1579,Latvia,Europe
182,Lebanon,MEA
219,Liberia,MEA
2121,Liechtenstein,Europe
1580,Lithuania,Europe
1548,Macedonia,Europe
2428,Madagascar,MEA
1613,Mainland of China,Asia Pacific
1709,Malawi,MEA
1611,Malaysia,Asia Pacific
2105,Maldives,Asia Pacific
2442,Mali,MEA
1612,Malta,Europe
489,Mauritius,MEA
1589,Mexico,Americas
536,Moldova,Europe
2103,Monaco,Europe
409,Mongolia,Asia Pacific
57,Montenegro,Europe
1552,Morocco,MEA
1574,Mozambique,MEA
4,Myanmar,Asia Pacific
78,Namibia,MEA
112,Nepal,Asia Pacific
1616,New Zealand,Asia Pacific
178,Nicaragua,Americas
2117,Niger,MEA
1578,Nigeria,MEA
1573,Norway,Europe
1603,Pakistan,Asia Pacific
1582,Panama,Americas
177,Paraguay,Americas
1553,Peru,Americas
1604,Philippines,Asia Pacific
1564,Poland,Europe
1544,Portugal,Europe
1538,Puerto Rico,Americas
529,Qatar,MEA
1560,Romania,Europe
1618,Russia,Europe
506,Rwanda,MEA
1605,Senegal,MEA
1547,Serbia,Europe
1840,Seychelles,MEA
2420,Sierra Leone,MEA
1575,Singapore,Asia Pacific
1536,Slovakia,Europe
1587,Slovenia,Europe
1545,South Africa,MEA
1619,Spain,Europe
1623,Sri Lanka,Asia Pacific
477,Sultanate of Oman,MEA
2418,Swaziland,MEA
1601,Sweden,Europe
1558,Switzerland,Europe
1561,Taiwan,Asia Pacific
537,Tajikistan,MEA
567,Tanzania,MEA
1607,Thailand,Asia Pacific
1598,The Netherlands,Europe
1543,Togo,MEA
1559,Tunisia,MEA
1622,Turkey,Europe
1602,Uganda,MEA
1610,Ukraine,Europe
1625,United Arab Emirates,MEA
1563,United Kingdom,Europe
1621,United States,Americas
1614,Uruguay,Americas
2115,Uzbekistan,MEA
1557,Venezuela,Americas
504,VIETNAM,Asia Pacific
2122,Zambia,MEA
2417,Zimbabwe,MEA
